LeftPupilPoints,RightPupilPoints,LeftPupilPoints-X,LeftPupilPoints-Y,RightPupilPoints-X,RightPupilPoints-Y
"4.13,0.84","7.32,1.81",4.13,0.84,7.32,1.81
"3.99,1.19","7.46,2.28",3.99,1.19,7.46,2.28
"4.18,1.94","7.30,2.81",4.18,1.94,7.3,2.81
"4.01,2.85","7.30,3.16",4.01,2.85,7.3,3.16
"4.07,3.84","7.48,2.98",4.07,3.84,7.48,2.98
"4.12,3.29","7.40,2.85",4.12,3.29,7.4,2.85
"4.33,3.39","7.37,2.72",4.33,3.39,7.37,2.72
"4.57,3.65","7.60,2.93",4.57,3.65,7.6,2.93
"4.94,3.85","7.75,2.73",4.94,3.85,7.75,2.73
"5.03,3.58","7.84,2.65",5.03,3.58,7.84,2.65
"5.00,3.01","9.34,1.32",5.0,3.01,9.34,1.32
"8.43,4.76","28.39,-3.86",8.43,4.76,28.39,-3.86
"28.66,13.41","30.26,-4.14",28.66,13.41,30.26,-4.14
"28.14,14.71","30.82,-3.47",28.14,14.71,30.82,-3.47
"27.70,14.82","31.10,-3.17",27.7,14.82,31.1,-3.17
"27.10,16.88","31.05,-2.92",27.1,16.88,31.05,-2.92
"27.67,15.67","31.01,-2.77",27.67,15.67,31.01,-2.77
"27.89,16.43","30.86,-2.53",27.89,16.43,30.86,-2.53
"27.45,16.42","30.84,-2.48",27.45,16.42,30.84,-2.48
"27.69,16.49","32.10,-3.08",27.69,16.49,32.1,-3.08
"29.11,16.25","32.79,-3.19",29.11,16.25,32.79,-3.19
"34.00,11.46","33.24,-3.61",34.0,11.46,33.24,-3.61
"29.16,15.47","33.44,-3.35",29.16,15.47,33.44,-3.35
"34.70,10.53","33.24,-3.43",34.7,10.53,33.24,-3.43
"28.84,15.57","33.13,-3.23",28.84,15.57,33.13,-3.23
"33.76,11.76","33.17,-3.12",33.76,11.76,33.17,-3.12
"34.40,11.12","33.22,-3.10",34.4,11.12,33.22,-3.1
"34.24,10.89","33.18,-3.11",34.24,10.89,33.18,-3.11
